account_id,customer_id,account_type,open_date,current_balance,currency
ACC0000077,CUST001393,Credit Card,2017/08/15,-2647.93,USD
ACC0000078,CUST001393,Checking,2017/08/15,1986.87,USD
ACC0000079,CUST001393,Savings,2017/08/15,25691.88,USD
ACC0000080,CUST003264,Credit Card,23-Oct-2015,-2739.21,USD
ACC0000081,CUST000849,Loan,10/01/2022,"USD -30,506.82",USD
ACC0000082,CUST000849,Checking,10/01/2022,1817.94,USD
ACC0000083,CUST001428,Loan,06/04/2020,-43232.0,USD
ACC0000084,CUST001428,Savings,06/04/2020,1258.19,USD
ACC0000085,CUST003429,Savings,2017/01/29,41073.34,USD
ACC0000086,CUST003429,Credit Card,2017/01/29,"USD -1,360.23",USD
ACC0000087,CUST003605,Loan,2022-03-06,-11111.47,USD
ACC0000088,CUST004093,Loan,02/12/2016,-26064.15,USD
ACC0000089,CUST003985,Checking,2019-02-19,"USD 1,130.76",USD
ACC0000090,CUST000747,Savings,04/07/2021,52 150.11,USD
ACC0000091,CUST001882,Savings,2024/05/24,47852.17,USD
ACC0000092,CUST003821,Savings,2024-09-25,3321.13,USD
ACC0000093,CUST001375,Checking,2021-07-17,1950.55,USD
ACC0000094,CUST001375,Loan,2021-07-17,-25135.79,USD
ACC0000095,CUST001630,Checking,04/08/2022,1541.68,USD
ACC0000096,CUST003682,Credit Card,2021/04/24,"USD -1,507.55",USD
ACC0000097,CUST004718,Credit Card,15/09/2024,-3301.63,USD
ACC0000098,CUST003674,Credit Card,20-Mar-2023,-3415.15,USD
ACC0000099,CUST004373,Loan,2024-08-27,-43852.14,USD
ACC0000100,CUST004829,Loan,05-Nov-2015,-4 230.97,USD
ACC0000101,CUST004829,Savings,05-Nov-2015,5629.94,USD
ACC0000102,CUST004829,Credit Card,05-Nov-2015,-1 019.69,USD
ACC0000103,CUST004829,Checking,05-Nov-2015,6591.74,USD
ACC0000104,CUST002119,Savings,26/06/2024,19364.66,USD
ACC0000105,CUST002119,Loan,26/06/2024,-15182.16,USD
ACC0000106,CUST002119,Checking,26/06/2024,"USD 3,646.49",USD
ACC0000107,CUST001500,Savings,10/10/2021,13918.27,USD
ACC0000108,CUST001500,Loan,10/10/2021,N/A,USD
ACC0000109,CUST004111,Credit Card,2014/12/11,-2110.91,USD
ACC0000110,CUST004111,Savings,2014/12/11,22 931.17,USD
ACC0000111,CUST004025,Credit Card,18/11/2020,-2019.85,USD
ACC0000112,CUST004025,Loan,18/11/2020,-24645.71,USD
ACC0000113,CUST002068,Loan,28-Jan-2016,-35893.01,USD
ACC0000114,CUST002068,Savings,28-Jan-2016,80690.34,USD
ACC0000115,CUST003712,Savings,27/12/2018,11263.92,USD
ACC0000116,CUST002848,Credit Card,2023-04-13,-2944.83,USD
ACC0000117,CUST002848,Checking,2023-04-13,167.28,USD
ACC0000118,CUST002848,Loan,2023-04-13,-42744.67,USD
ACC0000119,CUST002944,Credit Card,2022/03/06,-1020.01,USD
ACC0000120,CUST002944,Loan,2022/03/06,-37299.21,USD
ACC0000121,CUST004648,Checking,09/05/2015,796.08,USD
ACC0000122,CUST003247,Savings,12-Feb-2020,24681.93,USD
ACC0000123,CUST001221,Credit Card,08/13/2024,-863.28,USD
ACC0000124,CUST001221,Loan,08/13/2024,-3528.07,USD
ACC0000125,CUST003427,Savings,17-May-2022,13482.37,USD
ACC0000126,CUST001729,Credit Card,01/12/2024,-4510.9,USD
ACC0000127,CUST001729,Checking,01/12/2024,1553.88,USD
ACC0000128,CUST001363,Credit Card,06/16/2018,-3398.59,USD
ACC0000129,CUST001363,Loan,06/16/2018,-7234.0,USD
ACC0000130,CUST001363,Savings,06/16/2018,11067.05,USD
ACC0000131,CUST001613,Credit Card,2019/03/07,"USD -1,918.08",USD
ACC0000132,CUST004204,Checking,2022/12/14,2 043.34,USD
ACC0000133,CUST004204,Credit Card,2022/12/14,-3072.39,USD
ACC0000134,CUST004204,Loan,2022/12/14,-25733.18,USD
ACC0000135,CUST003795,Checking,2018/04/09,4201.51,USD
ACC0000136,CUST003214,Credit Card,12/10/2018,-2007.55,USD
ACC0000137,CUST003214,Checking,12/10/2018,2438.82,USD
ACC0000138,CUST003214,Loan,12/10/2018,-29259.67,USD
ACC0000139,CUST001211,Checking,2015-10-12,3125.18,USD
ACC0000140,CUST001211,Credit Card,2015-10-12,-2521.09,USD
ACC0000141,CUST002672,Checking,2022/06/27,960.69,USD
ACC0000142,CUST003327,Checking,07/06/2023,277.26,USD
ACC0000143,CUST003327,Savings,07/06/2023,-17915.45,USD
ACC0000144,CUST000298,Savings,08/05/2017,6220.59,USD
ACC0000145,CUST000298,Credit Card,08/05/2017,-1154.71,USD
ACC0000146,CUST002155,Credit Card,15/09/2015,-1381.98,USD
ACC0000147,CUST000458,Checking,11-Sep-2016,1216.86,USD
ACC0000148,CUST000458,Credit Card,11-Sep-2016,"USD -1,401.43",USD
ACC0000149,CUST001262,Checking,10/09/2015,N/A,USD
ACC0000150,CUST001845,Savings,13-Mar-2017,23374.64,USD
ACC0000151,CUST001955,Savings,2024/06/03,35406.4,USD
ACC0000152,CUST002700,Savings,2017/05/05,"USD 32,639.52",USD
ACC0000153,CUST002700,Checking,2017/05/05,4 091.31,USD
ACC0000154,CUST002700,Loan,2017/05/05,"USD -6,422.20",USD
ACC0000155,CUST000430,Loan,05-Mar-2024,-37258.99,USD
ACC0000156,CUST003334,Savings,01/20/2023,9990.43,USD
ACC0000157,CUST002917,Checking,2021/08/19,2 073.35,USD
ACC0000158,CUST002917,Credit Card,2021/08/19,-616.82,USD
ACC0000159,CUST001045,Checking,2023-01-25,USD 740.75,USD
ACC0000160,CUST001045,Credit Card,2023-01-25,-4341.68,USD
ACC0000161,CUST001045,Savings,2023-01-25,11871.12,USD
ACC0000162,CUST001045,Loan,2023-01-25,-27 296.68,USD
ACC0000163,CUST000200,Credit Card,2016-11-04,-5660.56,USD
ACC0000164,CUST000882,Loan,22-Sep-2024,-12 458.17,USD
ACC0000165,CUST000882,Savings,22-Sep-2024,24905.79,USD
ACC0000166,CUST003976,Loan,2022/08/27,-55444.33,USD
ACC0000167,CUST003976,Checking,2022/08/27,N/A,USD
ACC0000168,CUST003785,Checking,19-Aug-2015,8 643.09,USD
ACC0000169,CUST003785,Loan,19-Aug-2015,-1024.82,USD
ACC0000170,CUST002419,Savings,2019-08-22,"USD 13,719.78",USD
ACC0000171,CUST000806,Savings,2021/06/06,10 717.44,USD
ACC0000172,CUST000806,Loan,2021/06/06,-22 023.13,USD
ACC0000173,CUST002115,Credit Card,11/23/2017,-5948.76,USD
ACC0000174,CUST000085,Loan,2015-06-17,-8234.49,USD
ACC0000175,CUST000085,Checking,2015-06-17,3693.58,USD
ACC0000176,CUST000492,Savings,2022/05/29,17050.21,USD
ACC0000177,CUST000107,Loan,05-Jul-2021,-16419.41,USD
ACC0000178,CUST002437,Credit Card,2017-07-07,-1789.05,USD
ACC0000179,CUST004814,Savings,2016/09/03,N/A,USD
ACC0000180,CUST004814,Checking,2016/09/03,14489.92,USD
ACC0000181,CUST003164,Loan,16/10/2021,-46057.09,USD
ACC0000182,CUST001756,Loan,2017-02-04,-421.25,USD
ACC0000183,CUST001756,Credit Card,2017-02-04,-1697.32,USD
ACC0000184,CUST003077,Credit Card,2016-01-27,-1 310.50,USD
ACC0000185,CUST003077,Savings,2016-01-27,-1930.71,USD
ACC0000186,CUST003358,Credit Card,2017/01/07,-1946.58,USD
ACC0000187,CUST003358,Checking,2017/01/07,"USD 2,405.93",USD
ACC0000188,CUST000030,Checking,17/07/2016,"USD 2,265.47",USD
ACC0000189,CUST000030,Savings,17/07/2016,9541.22,USD
ACC0000190,CUST001704,Savings,24-Aug-2016,"USD 15,893.05",USD
ACC0000191,CUST001704,Credit Card,24-Aug-2016,"USD -3,547.48",USD
ACC0000192,CUST004621,Checking,29-Jul-2017,4727.71,USD
ACC0000193,CUST004621,Loan,29-Jul-2017,"USD -36,081.05",USD
ACC0000194,CUST004253,Checking,10-Dec-2020,1339.8,USD
ACC0000195,CUST004287,Loan,2016/06/07,-3 219.89,USD
ACC0000196,CUST003748,Loan,08-Jan-2016,-2696.56,USD
ACC0000197,CUST003748,Credit Card,08-Jan-2016,-1 982.69,USD
ACC0000198,CUST002719,Credit Card,20/04/2021,N/A,USD
ACC0000199,CUST002719,Checking,20/04/2021,"USD 1,010.31",USD
ACC0000200,CUST003671,Checking,08/21/2022,1777.38,USD
ACC0000201,CUST003671,Credit Card,08/21/2022,-1374.8,USD
ACC0000202,CUST003479,Savings,14-Aug-2019,"USD 19,967.70",USD
ACC0000203,CUST003479,Credit Card,14-Aug-2019,-2616.14,USD
ACC0000204,CUST003479,Checking,14-Aug-2019,"USD 2,091.70",USD
ACC0000205,CUST003451,Credit Card,2016-12-10,-2031.46,USD
ACC0000206,CUST003451,Checking,2016-12-10,5327.07,USD
ACC0000207,CUST003451,Savings,2016-12-10,17555.83,USD
ACC0000208,CUST000169,Credit Card,02/24/2019,-3542.46,USD
ACC0000209,CUST000169,Loan,02/24/2019,-47825.88,USD
ACC0000210,CUST001188,Checking,14-Nov-2016,2022.85,USD
ACC0000211,CUST001188,Loan,14-Nov-2016,N/A,USD
ACC0000212,CUST001306,Savings,2016-04-21,8268.93,USD
ACC0000213,CUST001434,Savings,20-Sep-2022,12893.02,USD
ACC0000214,CUST001434,Checking,20-Sep-2022,"USD 1,290.10",USD
ACC0000215,CUST001946,Loan,2016/07/23,-1352.78,USD
ACC0000216,CUST001946,Credit Card,2016/07/23,-4256.4,USD
ACC0000217,CUST003236,Credit Card,2020/05/18,-1997.71,USD
ACC0000218,CUST003236,Savings,2020/05/18,18443.87,USD
ACC0000219,CUST001030,Loan,08/24/2022,"USD -17,609.37",USD
ACC0000220,CUST001030,Savings,08/24/2022,14571.56,USD
ACC0000221,CUST001030,Credit Card,08/24/2022,-4 665.31,USD
ACC0000222,CUST000240,Savings,02/26/2020,"USD 15,596.99",USD
ACC0000223,CUST000928,Savings,22/03/2019,45470.76,USD
ACC0000224,CUST000928,Credit Card,22/03/2019,-594.94,USD
ACC0000225,CUST004833,Savings,2022-03-21,N/A,USD
ACC0000226,CUST002755,Credit Card,02/12/2018,-4 205.24,USD
ACC0000227,CUST002755,Checking,02/12/2018,2757.83,USD
ACC0000228,CUST000158,Savings,03/28/2024,29 321.96,USD
ACC0000229,CUST000486,Checking,2018-12-28,1780.11,USD
ACC0000230,CUST000486,Savings,2018-12-28,37839.8,USD
ACC0000231,CUST002108,Loan,11-Dec-2022,-19039.03,USD
ACC0000232,CUST000506,Checking,01/17/2023,6 913.17,USD
ACC0000233,CUST004112,Loan,03-Apr-2022,"USD -17,245.78",USD
ACC0000234,CUST004112,Checking,03-Apr-2022,1542.62,USD
ACC0000235,CUST004112,Savings,03-Apr-2022,60536.29,USD
ACC0000236,CUST003803,Checking,03/25/2022,354.70,USD
ACC0000237,CUST000908,Loan,08-Sep-2017,"USD -17,132.70",USD
ACC0000238,CUST000732,Loan,2015/04/05,-50813.25,USD
ACC0000239,CUST000732,Credit Card,2015/04/05,-1537.05,USD
ACC0000240,CUST003047,Loan,04-Jan-2022,-13091.6,USD
ACC0000241,CUST003047,Savings,04-Jan-2022,8927.61,USD
ACC0000242,CUST003796,Credit Card,2018/10/28,-3867.32,USD
ACC0000243,CUST003796,Savings,2018/10/28,N/A,USD
ACC0000244,CUST002603,Loan,10/27/2021,-34809.02,USD
ACC0000245,CUST002603,Savings,10/27/2021,17633.05,USD
ACC0000246,CUST002603,Checking,10/27/2021,706.67,USD
ACC0000247,CUST004184,Checking,17/09/2019,2 498.85,USD
ACC0000248,CUST004184,Savings,17/09/2019,26946.99,USD
ACC0000249,CUST004184,Credit Card,17/09/2019,-3 577.83,USD
ACC0000250,CUST001472,Loan,23-Aug-2016,-37636.43,USD
ACC0000251,CUST001472,Checking,23-Aug-2016,5185.77,USD
ACC0000252,CUST001472,Savings,23-Aug-2016,30467.01,USD
ACC0000253,CUST001502,Savings,2022/09/23,7630.76,USD
ACC0000254,CUST001502,Credit Card,2022/09/23,-2954.67,USD
ACC0000255,CUST001502,Checking,2022/09/23,"USD 1,464.52",USD
ACC0000256,CUST001502,Loan,2022/09/23,N/A,USD
ACC0000257,CUST002779,Savings,04/21/2024,41608.85,USD
ACC0000258,CUST002779,Checking,04/21/2024,"USD 4,624.46",USD
ACC0000259,CUST001452,Loan,2019-02-13,-25234.42,USD
ACC0000260,CUST001452,Checking,2019-02-13,5131.99,USD
ACC0000261,CUST001201,Credit Card,2018-12-18,-1689.04,USD
ACC0000262,CUST000743,Loan,10/04/2018,"USD -7,636.53",USD
ACC0000263,CUST000743,Credit Card,10/04/2018,-4607.24,USD
ACC0000264,CUST000743,Checking,10/04/2018,"USD -1,923.73",USD
ACC0000265,CUST004862,Savings,23/12/2021,21555.85,USD
ACC0000266,CUST000678,Savings,07-Dec-2023,32041.87,USD
ACC0000267,CUST000678,Checking,07-Dec-2023,1583.81,USD
ACC0000268,CUST003700,Loan,2015-03-25,-15991.71,USD
ACC0000269,CUST003700,Savings,2015-03-25,15 153.53,USD
ACC0000270,CUST003700,Credit Card,2015-03-25,-774.41,USD
ACC0000271,CUST001947,Credit Card,22-Sep-2017,USD -401.84,USD
ACC0000272,CUST001947,Checking,22-Sep-2017,2304.4,USD
ACC0000273,CUST001947,Savings,22-Sep-2017,"USD 23,801.40",USD
ACC0000274,CUST001947,Loan,22-Sep-2017,-32318.34,USD
ACC0000275,CUST004693,Loan,08/07/2020,-42056.95,USD
ACC0000276,CUST004905,Credit Card,25/11/2015,"USD -2,585.74",USD
ACC0000277,CUST003393,Credit Card,18-Jun-2018,"USD -2,101.38",USD
ACC0000278,CUST003393,Loan,18-Jun-2018,-37567.51,USD
ACC0000279,CUST001648,Loan,28-Aug-2020,-56 395.26,USD
ACC0000280,CUST001648,Checking,28-Aug-2020,3225.64,USD
ACC0000281,CUST001648,Savings,28-Aug-2020,39776.84,USD
ACC0000282,CUST004447,Loan,29-Sep-2023,-19483.35,USD
ACC0000283,CUST004447,Credit Card,29-Sep-2023,-277.93,USD
ACC0000284,CUST000180,Credit Card,2023-11-08,-1093.92,USD
ACC0000285,CUST000643,Savings,2019-10-31,40453.11,USD
ACC0000286,CUST000643,Loan,2019-10-31,-41735.82,USD
ACC0000287,CUST000643,Checking,2019-10-31,995.08,USD
ACC0000288,CUST004055,Credit Card,2020/05/25,-1832.69,USD
ACC0000289,CUST004055,Checking,2020/05/25,N/A,USD
ACC0000290,CUST001085,Credit Card,08/10/2018,-1406.3,USD
ACC0000291,CUST001085,Checking,08/10/2018,1275.65,USD
ACC0000292,CUST001085,Loan,08/10/2018,-2463.79,USD
ACC0000293,CUST004148,Checking,10-Nov-2018,3832.45,USD
ACC0000294,CUST004148,Loan,10-Nov-2018,"USD -39,369.70",USD
ACC0000295,CUST004148,Savings,10-Nov-2018,35097.7,USD
ACC0000296,CUST004148,Credit Card,10-Nov-2018,-1801.8,USD
ACC0000297,CUST001908,Loan,12/12/2023,-11780.31,USD
ACC0000298,CUST001908,Savings,12/12/2023,15719.89,USD
ACC0000299,CUST001908,Credit Card,12/12/2023,-2299.88,USD
ACC0000300,CUST001908,Checking,12/12/2023,783.79,USD
ACC0000301,CUST004501,Credit Card,10/13/2018,-710.8,USD
ACC0000302,CUST004501,Savings,10/13/2018,N/A,USD
ACC0000303,CUST004312,Savings,12/05/2016,6003.85,USD
ACC0000304,CUST004312,Checking,12/05/2016,4525.72,USD
ACC0000305,CUST003200,Savings,2016-11-07,N/A,USD
ACC0000306,CUST002908,Credit Card,2020-02-14,-2176.56,USD
ACC0000307,CUST002908,Savings,2020-02-14,-3834.06,USD
ACC0000308,CUST003107,Credit Card,06/12/2019,"USD -3,294.88",USD
ACC0000309,CUST002125,Savings,2019/07/13,11899.98,USD
ACC0000310,CUST002125,Checking,2019/07/13,2306.63,USD
ACC0000311,CUST004423,Loan,24/08/2018,-31878.31,USD
ACC0000312,CUST004828,Savings,2019/05/05,"USD 4,646.36",USD
ACC0000313,CUST004828,Credit Card,2019/05/05,N/A,USD
ACC0000314,CUST003917,Loan,2015-02-17,-18884.56,USD
ACC0000315,CUST003917,Savings,2015-02-17,38669.21,USD
ACC0000316,CUST003917,Checking,2015-02-17,"USD 1,526.82",USD
ACC0000317,CUST003649,Loan,08/31/2024,-39974.71,USD
ACC0000318,CUST003649,Credit Card,08/31/2024,-2362.99,USD
ACC0000319,CUST003649,Checking,08/31/2024,N/A,USD
ACC0000320,CUST003649,Savings,08/31/2024,"USD 14,343.19",USD
ACC0000321,CUST001091,Credit Card,2019/02/19,-2886.79,USD
ACC0000322,CUST001091,Loan,2019/02/19,-748.37,USD
ACC0000323,CUST001091,Savings,2019/02/19,N/A,USD
ACC0000324,CUST001426,Savings,09-Mar-2019,58247.68,USD
ACC0000325,CUST001426,Checking,09-Mar-2019,"USD 5,568.10",USD
ACC0000326,CUST001426,Loan,09-Mar-2019,-35 453.56,USD
ACC0000327,CUST001075,Loan,06-May-2021,-23464.96,USD
ACC0000328,CUST001670,Savings,2022-07-04,12916.16,USD
ACC0000329,CUST001871,Loan,2021/11/17,-40843.48,USD
ACC0000330,CUST004060,Checking,01/07/2019,1135.23,USD
ACC0000331,CUST002472,Credit Card,08/04/2020,"USD -2,601.90",USD
ACC0000332,CUST003459,Loan,2021-08-08,-38087.22,USD
ACC0000333,CUST001520,Credit Card,05-Apr-2015,"USD -1,713.15",USD
ACC0000334,CUST001520,Loan,05-Apr-2015,-48050.54,USD
ACC0000335,CUST001520,Savings,05-Apr-2015,51132.33,USD
ACC0000336,CUST001520,Checking,05-Apr-2015,3889.28,USD
ACC0000337,CUST004899,Loan,2023-07-17,N/A,USD
ACC0000338,CUST004899,Checking,2023-07-17,"USD 3,269.07",USD
ACC0000339,CUST004794,Loan,2017-03-10,"USD -23,265.83",USD
ACC0000340,CUST004794,Savings,2017-03-10,10350.12,USD
ACC0000341,CUST004794,Checking,2017-03-10,2562.17,USD
ACC0000342,CUST004535,Loan,2018-11-24,-2788.33,USD
ACC0000343,CUST004535,Checking,2018-11-24,1826.0,USD
ACC0000344,CUST004778,Checking,26-Sep-2024,1 766.29,USD
ACC0000345,CUST000280,Savings,17/05/2015,7450.63,USD
ACC0000346,CUST000280,Loan,17/05/2015,-16402.73,USD
ACC0000347,CUST002575,Credit Card,09/22/2023,-2760.64,USD
ACC0000348,CUST002575,Checking,09/22/2023,2369.33,USD
ACC0000349,CUST002575,Loan,09/22/2023,-7057.49,USD
ACC0000350,CUST001019,Loan,16-Mar-2023,-37072.69,USD
ACC0000351,CUST001019,Checking,16-Mar-2023,2 864.54,USD
ACC0000352,CUST000706,Checking,17/04/2021,3551.9,USD
ACC0000353,CUST004057,Credit Card,2023-08-27,-1216.9,USD
ACC0000354,CUST004057,Savings,2023-08-27,13344.52,USD
ACC0000355,CUST000249,Loan,18/01/2019,-6450.85,USD
ACC0000356,CUST000249,Credit Card,18/01/2019,-3962.75,USD
ACC0000357,CUST000562,Savings,2017/03/05,-3967.28,USD
ACC0000358,CUST000531,Savings,08/10/2021,"USD 11,309.42",USD
ACC0000359,CUST000531,Checking,08/10/2021,3098.5,USD
ACC0000360,CUST001868,Loan,2021/08/04,-25396.65,USD
ACC0000361,CUST001868,Checking,2021/08/04,"USD -2,199.08",USD
ACC0000362,CUST001868,Savings,2021/08/04,6748.4,USD
ACC0000363,CUST001887,Loan,11/09/2023,-50 060.66,USD
ACC0000364,CUST001887,Checking,11/09/2023,1390.87,USD
ACC0000365,CUST001887,Savings,11/09/2023,34914.68,USD
ACC0000366,CUST000081,Savings,04-Jul-2016,-820.05,USD
ACC0000367,CUST000081,Credit Card,04-Jul-2016,-4179.13,USD
ACC0000368,CUST003075,Loan,05-Feb-2024,-22089.02,USD
ACC0000369,CUST002878,Savings,2015-12-06,43946.94,USD
ACC0000370,CUST002878,Checking,2015-12-06,"USD 4,654.04",USD
ACC0000371,CUST002878,Credit Card,2015-12-06,-3249.27,USD
ACC0000372,CUST000473,Loan,2021-01-28,-32321.52,USD
ACC0000373,CUST003635,Savings,2015/02/03,"USD 59,090.23",USD
ACC0000374,CUST003635,Credit Card,2015/02/03,-3291.46,USD
ACC0000375,CUST004183,Savings,2023/05/07,-4711.78,USD
ACC0000376,CUST004183,Loan,2023/05/07,N/A,USD
ACC0000377,CUST004183,Checking,2023/05/07,4314.98,USD
ACC0000378,CUST001216,Credit Card,10/15/2015,-449.77,USD
ACC0000379,CUST001216,Loan,10/15/2015,-901.86,USD
ACC0000380,CUST001216,Checking,10/15/2015,1036.43,USD
ACC0000381,CUST003072,Loan,11/28/2016,-16718.52,USD
ACC0000382,CUST003072,Credit Card,11/28/2016,-1072.71,USD
ACC0000383,CUST000228,Loan,2020/04/18,-32976.91,USD
ACC0000384,CUST004468,Savings,01/13/2023,8081.77,USD
ACC0000385,CUST004468,Credit Card,01/13/2023,-2990.04,USD
ACC0000386,CUST004468,Checking,01/13/2023,1151.98,USD
ACC0000387,CUST003735,Credit Card,28/01/2016,-3681.14,USD
ACC0000388,CUST002365,Checking,2016/01/30,1611.35,USD
ACC0000389,CUST001836,Savings,19-Apr-2022,N/A,USD
ACC0000390,CUST000089,Checking,2016-01-26,7141.42,USD
ACC0000391,CUST000089,Credit Card,2016-01-26,-1218.39,USD
ACC0000392,CUST003828,Credit Card,2015/04/30,-777.21,USD
ACC0000393,CUST003828,Checking,2015/04/30,2468.97,USD
ACC0000394,CUST003828,Loan,2015/04/30,-39855.05,USD
ACC0000395,CUST000241,Loan,2018/05/29,-31423.1,USD
ACC0000396,CUST000009,Savings,09/03/2015,16480.93,USD
ACC0000397,CUST000009,Checking,09/03/2015,2330.65,USD
ACC0000398,CUST000009,Loan,09/03/2015,-20 330.31,USD
ACC0000399,CUST000009,Credit Card,09/03/2015,-2667.9,USD
ACC0000400,CUST001182,Loan,18/04/2024,"USD -7,059.68",USD
ACC0000401,CUST001182,Checking,18/04/2024,2198.91,USD
ACC0000402,CUST002005,Loan,2021/12/18,-23751.25,USD
ACC0000403,CUST003929,Loan,2024-07-04,"USD -29,276.79",USD
ACC0000404,CUST003929,Checking,2024-07-04,"USD 6,759.34",USD
ACC0000405,CUST004383,Credit Card,27/01/2020,-3420.4,USD
ACC0000406,CUST004383,Savings,27/01/2020,"USD 26,531.06",USD
ACC0000407,CUST000600,Loan,19-May-2021,-4085.38,USD
ACC0000408,CUST000600,Credit Card,19-May-2021,-1963.32,USD
ACC0000409,CUST001973,Savings,24/03/2018,10298.11,USD
