transaction_id,account_id,customer_id,transaction_date,transaction_type,category,amount
TXN00000051,ACC0000793,CUST002752,2024-10-07 00:00:00,International Transfer,Salary,-80.25
TXN00000052,ACC0000793,CUST002752,2024-12-28 00:00:00,Salary Deposit,Salary,2783.08
TXN00000053,ACC0000793,CUST002752,2024-11-25 00:00:00,Mobile Payment,Dining,-75.99
TXN00000054,ACC0000793,CUST002752,2024-12-16 00:00:00,Online Transfer,Utilities,-117.25
TXN00000055,ACC0000793,CUST002752,2024-12-23 00:00:00,POS Purchase,Entertainment,-112.64
TXN00000056,ACC0000793,CUST002752,2024-11-28 00:00:00,International Transfer,Groceries,-729.94
TXN00000057,ACC0000793,CUST002752,2024-12-22 00:00:00,Salary Deposit,Salary,5005.43
TXN00000058,ACC0000793,CUST002752,2024-11-27 00:00:00,Online Transfer,Other,-38.57
TXN00000059,ACC0000793,CUST002752,2024-10-16 00:00:00,Online Transfer,Travel,-25.68
TXN00000060,ACC0000793,CUST002752,2024-12-17 00:00:00,Salary Deposit,Salary,4237.48
TXN00000061,ACC0000793,CUST002752,2024-10-21 00:00:00,International Transfer,Groceries,-328.36
TXN00000062,ACC0000793,CUST002752,2024-12-29 00:00:00,POS Purchase,Other,-62.43
TXN00000063,ACC0000793,CUST002752,2024-10-05 00:00:00,POS Purchase,Shopping,-236.25
TXN00000064,ACC0000793,CUST002752,2024-11-17 00:00:00,Mobile Payment,Shopping,-59.57
TXN00000065,ACC0000793,CUST002752,2024-10-12 00:00:00,POS Purchase,Other,-27.15
TXN00000066,ACC0000793,CUST002752,2024-12-29 00:00:00,Mobile Payment,Dining,-24.76
TXN00000067,ACC0000793,CUST002752,2024-10-18 00:00:00,Online Transfer,Rent,-39.17
TXN00000068,ACC0000793,CUST002752,2024-10-04 00:00:00,POS Purchase,Other,-38.86
TXN00000069,ACC0000793,CUST002752,2024-10-24 00:00:00,Mobile Payment,Dining,-170.13
TXN00000070,ACC0000793,CUST002752,2024-12-08 00:00:00,Online Transfer,Travel,-0.2
TXN00000071,ACC0000793,CUST002752,2024-11-29 00:00:00,Direct Debit,Salary,-52.14
TXN00000072,ACC0000793,CUST002752,2024-12-23 00:00:00,ATM Withdrawal,Shopping,-61.78
TXN00000073,ACC0000793,CUST002752,2024-10-22 00:00:00,Online Transfer,Dining,-84.06
TXN00000074,ACC0009029,CUST002702,2024-11-17 00:00:00,ATM Withdrawal,Shopping,-21.52
TXN00000075,ACC0009029,CUST002702,2024-12-08 00:00:00,Online Transfer,Entertainment,-214.46
TXN00000076,ACC0009029,CUST002702,2024-11-30 00:00:00,Online Transfer,Groceries,-154.43
TXN00000077,ACC0009029,CUST002702,2024-12-24 00:00:00,POS Purchase,Healthcare,-102.11
TXN00000078,ACC0009029,CUST002702,2024-11-12 00:00:00,Online Transfer,Shopping,-131.23
TXN00000079,ACC0009029,CUST002702,2024-10-29 00:00:00,Direct Debit,Other,-9.97
TXN00000080,ACC0009029,CUST002702,2024-10-10 00:00:00,Online Transfer,Rent,-94.27
TXN00000081,ACC0009029,CUST002702,2024-11-06 00:00:00,ATM Withdrawal,Entertainment,-14.95
TXN00000082,ACC0009029,CUST002702,2024-11-01 00:00:00,International Transfer,Salary,-777.2
TXN00000083,ACC0009029,CUST002702,2024-11-28 00:00:00,Salary Deposit,Salary,4300.1
TXN00000084,ACC0009029,CUST002702,2024-11-09 00:00:00,Mobile Payment,Healthcare,-20.59
TXN00000085,ACC0009029,CUST002702,2024-12-16 00:00:00,Mobile Payment,Utilities,-54.34
TXN00000086,ACC0009029,CUST002702,2024-12-14 00:00:00,POS Purchase,Other,-205.24
TXN00000087,ACC0006058,CUST004150,2024-12-06 00:00:00,Salary Deposit,Salary,4522.76
TXN00000088,ACC0006058,CUST004150,2024-10-11 00:00:00,POS Purchase,Entertainment,-174.85
TXN00000089,ACC0006058,CUST004150,2024-12-29 00:00:00,Mobile Payment,Shopping,-172.66
TXN00000090,ACC0006058,CUST004150,2024-12-25 00:00:00,POS Purchase,Travel,-119.91
TXN00000091,ACC0006058,CUST004150,2024-10-08 00:00:00,POS Purchase,Utilities,-101.83
TXN00000092,ACC0006058,CUST004150,2024-12-03 00:00:00,Salary Deposit,Salary,5193.22
TXN00000093,ACC0006058,CUST004150,2024-12-30 00:00:00,International Transfer,Utilities,-18.21
TXN00000094,ACC0006058,CUST004150,2024-12-01 00:00:00,POS Purchase,Healthcare,-25.85
TXN00000095,ACC0006058,CUST004150,2024-10-09 00:00:00,ATM Withdrawal,Other,-103.81
TXN00000096,ACC0006058,CUST004150,2024-10-07 00:00:00,POS Purchase,Healthcare,-21.65
TXN00000097,ACC0006058,CUST004150,2024-12-07 00:00:00,Online Transfer,Entertainment,-129.08
TXN00000098,ACC0006058,CUST004150,2024-12-03 00:00:00,POS Purchase,Groceries,-85.22
TXN00000099,ACC0006058,CUST004150,2024-10-20 00:00:00,Direct Debit,Shopping,-35.76
TXN00000100,ACC0006058,CUST004150,2024-12-25 00:00:00,POS Purchase,Shopping,-102.74
TXN00000101,ACC0006058,CUST004150,2024-11-20 00:00:00,Mobile Payment,Utilities,-21.26
TXN00000102,ACC0006058,CUST004150,2024-12-03 00:00:00,Direct Debit,Entertainment,-217.65
TXN00000103,ACC0006058,CUST004150,2024-12-03 00:00:00,International Transfer,Other,-718.04
TXN00000104,ACC0006058,CUST004150,2024-11-06 00:00:00,Mobile Payment,Other,-38.93
TXN00000105,ACC0006058,CUST004150,2024-12-11 00:00:00,Direct Debit,Salary,-44.43
TXN00000106,ACC0006058,CUST004150,2024-11-19 00:00:00,POS Purchase,Dining,-76.12
TXN00000107,ACC0006058,CUST004150,2024-11-07 00:00:00,Mobile Payment,Rent,-2.87
TXN00000108,ACC0006058,CUST004150,2024-11-27 00:00:00,Direct Debit,Rent,-68.35
TXN00000109,ACC0006058,CUST004150,2024-12-12 00:00:00,International Transfer,Shopping,-247.09
TXN00000110,ACC0006058,CUST004150,2024-10-25 00:00:00,Direct Debit,Groceries,-58.75
TXN00000111,ACC0006058,CUST004150,2024-12-22 00:00:00,Direct Debit,Shopping,-0.7
TXN00000112,ACC0006058,CUST004150,2024-11-26 00:00:00,International Transfer,Healthcare,-385.92
TXN00000113,ACC0006058,CUST004150,2024-11-11 00:00:00,Salary Deposit,Salary,4157.8
TXN00000114,ACC0006058,CUST004150,2024-11-26 00:00:00,POS Purchase,Healthcare,-159.3
TXN00000115,ACC0006058,CUST004150,2024-11-24 00:00:00,ATM Withdrawal,Other,-134.4
TXN00000116,ACC0006058,CUST004150,2024-12-17 00:00:00,Salary Deposit,Salary,3475.37
TXN00000117,ACC0006058,CUST004150,2024-12-03 00:00:00,Salary Deposit,Salary,4548.53
TXN00000118,ACC0006058,CUST004150,2024-10-06 00:00:00,Online Transfer,Other,-202.32
TXN00000119,ACC0006058,CUST004150,2024-12-21 00:00:00,International Transfer,Entertainment,-575.81
TXN00000120,ACC0006058,CUST004150,2024-12-08 00:00:00,Mobile Payment,Dining,-173.83
TXN00000121,ACC0006058,CUST004150,2024-10-15 00:00:00,Direct Debit,Salary,-80.95
TXN00000122,ACC0006058,CUST004150,2024-11-02 00:00:00,Direct Debit,Other,-87.53
TXN00000123,ACC0006058,CUST004150,2024-12-17 00:00:00,Mobile Payment,Other,-127.85
TXN00000124,ACC0006058,CUST004150,2024-10-20 00:00:00,Mobile Payment,Utilities,-81.31
TXN00000125,ACC0006058,CUST004150,2024-12-09 00:00:00,International Transfer,Shopping,-333.41
TXN00000126,ACC0007009,CUST002467,2024-11-25 00:00:00,Salary Deposit,Salary,3949.82
TXN00000127,ACC0007009,CUST002467,2024-11-01 00:00:00,Direct Debit,Rent,-140.61
TXN00000128,ACC0007009,CUST002467,2024-10-17 00:00:00,Mobile Payment,Healthcare,-150.66
TXN00000129,ACC0007009,CUST002467,2024-12-25 00:00:00,International Transfer,Other,-142.23
TXN00000130,ACC0007009,CUST002467,2024-10-08 00:00:00,Direct Debit,Dining,-5.56
TXN00000131,ACC0007009,CUST002467,2024-11-12 00:00:00,POS Purchase,Healthcare,-122.16
TXN00000132,ACC0007009,CUST002467,2024-12-18 00:00:00,POS Purchase,Travel,-84.7
TXN00000133,ACC0007009,CUST002467,2024-12-16 00:00:00,Salary Deposit,Salary,3142.13
TXN00000134,ACC0007009,CUST002467,2024-11-11 00:00:00,Online Transfer,Shopping,-106.2
TXN00000135,ACC0007009,CUST002467,2024-11-18 00:00:00,POS Purchase,Dining,-51.2
TXN00000136,ACC0005628,CUST001101,2024-10-03 00:00:00,ATM Withdrawal,Entertainment,-15.74
TXN00000137,ACC0005628,CUST001101,2024-11-25 00:00:00,Online Transfer,Salary,-59.44
TXN00000138,ACC0005628,CUST001101,2024-12-04 00:00:00,International Transfer,Utilities,-712.39
TXN00000139,ACC0005628,CUST001101,2024-11-07 00:00:00,ATM Withdrawal,Other,-184.69
TXN00000140,ACC0005628,CUST001101,2024-11-11 00:00:00,Mobile Payment,Other,-32.88
TXN00000141,ACC0005628,CUST001101,2024-11-23 00:00:00,Direct Debit,Dining,-165.25
TXN00000142,ACC0005628,CUST001101,2024-12-31 00:00:00,Online Transfer,Utilities,-134.31
TXN00000143,ACC0005628,CUST001101,2024-10-17 00:00:00,Online Transfer,Dining,-18.78
TXN00000144,ACC0005628,CUST001101,2024-11-16 00:00:00,POS Purchase,Travel,-79.2
TXN00000145,ACC0005628,CUST001101,2024-10-22 00:00:00,Online Transfer,Travel,-104.35
TXN00000146,ACC0005628,CUST001101,2024-10-18 00:00:00,Mobile Payment,Rent,-95.82
TXN00000147,ACC0005628,CUST001101,2024-10-24 00:00:00,Salary Deposit,Salary,5019.15
TXN00000148,ACC0005628,CUST001101,2024-10-18 00:00:00,Online Transfer,Utilities,-26.97
TXN00000149,ACC0005628,CUST001101,2024-11-21 00:00:00,Mobile Payment,Rent,-87.76
TXN00000150,ACC0005628,CUST001101,2024-10-27 00:00:00,Salary Deposit,Salary,4394.81
TXN00000151,ACC0005628,CUST001101,2024-10-13 00:00:00,Direct Debit,Other,-72.05
TXN00000152,ACC0005628,CUST001101,2024-12-21 00:00:00,POS Purchase,Other,-85.63
TXN00000153,ACC0005628,CUST001101,2024-11-13 00:00:00,Direct Debit,Salary,-27.96
TXN00000154,ACC0005628,CUST001101,2024-10-31 00:00:00,ATM Withdrawal,Rent,-130.13
TXN00000155,ACC0005628,CUST001101,2024-12-30 00:00:00,Salary Deposit,Salary,4246.07
TXN00000156,ACC0005628,CUST001101,2024-10-24 00:00:00,Direct Debit,Healthcare,-71.73
TXN00000157,ACC0005628,CUST001101,2024-11-10 00:00:00,POS Purchase,Salary,-4.22
TXN00000158,ACC0005628,CUST001101,2024-10-15 00:00:00,POS Purchase,Groceries,-231.65
TXN00000159,ACC0005628,CUST001101,2024-11-07 00:00:00,International Transfer,Salary,-851.77
TXN00000160,ACC0005628,CUST001101,2024-12-05 00:00:00,International Transfer,Dining,-391.66
TXN00000161,ACC0005628,CUST001101,2024-12-14 00:00:00,Salary Deposit,Salary,6004.2
TXN00000162,ACC0005628,CUST001101,2024-12-17 00:00:00,ATM Withdrawal,Salary,-40.7
TXN00000163,ACC0005628,CUST001101,2024-11-15 00:00:00,Direct Debit,Shopping,-109.34
TXN00000164,ACC0005628,CUST001101,2024-11-04 00:00:00,ATM Withdrawal,Healthcare,-74.73
TXN00000165,ACC0000938,CUST001322,2024-10-13 00:00:00,ATM Withdrawal,Healthcare,-14.56
TXN00000166,ACC0000938,CUST001322,2024-12-31 00:00:00,Direct Debit,Groceries,-86.34
TXN00000167,ACC0000938,CUST001322,2024-10-03 00:00:00,Online Transfer,Entertainment,-45.32
TXN00000168,ACC0000938,CUST001322,2024-10-17 00:00:00,POS Purchase,Travel,-9.48
TXN00000169,ACC0000938,CUST001322,2024-12-07 00:00:00,International Transfer,Groceries,-179.22
TXN00000170,ACC0000938,CUST001322,2024-10-10 00:00:00,Salary Deposit,Salary,2925.19
TXN00000171,ACC0000938,CUST001322,2024-10-16 00:00:00,International Transfer,Rent,-423.57
TXN00000172,ACC0000938,CUST001322,2024-11-21 00:00:00,International Transfer,Utilities,-415.41
TXN00000173,ACC0000938,CUST001322,2024-10-23 00:00:00,Direct Debit,Healthcare,-182.78
TXN00000174,ACC0000938,CUST001322,2024-10-24 00:00:00,Online Transfer,Healthcare,-117.82
TXN00000175,ACC0000938,CUST001322,2024-12-01 00:00:00,ATM Withdrawal,Entertainment,-27.74
TXN00000176,ACC0000938,CUST001322,2024-10-12 00:00:00,POS Purchase,Utilities,-67.36
TXN00000177,ACC0000938,CUST001322,2024-10-09 00:00:00,POS Purchase,Healthcare,-81.09
TXN00000178,ACC0000938,CUST001322,2024-11-17 00:00:00,Online Transfer,Groceries,-9.13
TXN00000179,ACC0000938,CUST001322,2024-11-29 00:00:00,Online Transfer,Salary,-23.72
TXN00000180,ACC0000938,CUST001322,2024-10-27 00:00:00,Mobile Payment,Healthcare,-54.83
TXN00000181,ACC0000938,CUST001322,2024-12-26 00:00:00,International Transfer,Rent,-327.61
TXN00000182,ACC0000938,CUST001322,2024-12-02 00:00:00,POS Purchase,Salary,-14.75
TXN00000183,ACC0000938,CUST001322,2024-10-12 00:00:00,Direct Debit,Utilities,-7.24
TXN00000184,ACC0000938,CUST001322,2024-11-21 00:00:00,ATM Withdrawal,Salary,-108.34
TXN00000185,ACC0000938,CUST001322,2024-10-03 00:00:00,Salary Deposit,Salary,4740.61
TXN00000186,ACC0000938,CUST001322,2024-11-07 00:00:00,Salary Deposit,Salary,4534.21
TXN00000187,ACC0000938,CUST001322,2024-12-31 00:00:00,Online Transfer,Travel,-201.58
TXN00000188,ACC0008790,CUST001123,2024-12-31 00:00:00,Salary Deposit,Salary,4177.06
TXN00000189,ACC0008790,CUST001123,2024-10-31 00:00:00,Online Transfer,Healthcare,-204.81
TXN00000190,ACC0008790,CUST001123,2024-11-27 00:00:00,Direct Debit,Salary,-54.92
TXN00000191,ACC0008790,CUST001123,2024-10-12 00:00:00,Mobile Payment,Rent,-20.26
TXN00000192,ACC0008790,CUST001123,2024-10-03 00:00:00,Direct Debit,Travel,-13.59
TXN00000193,ACC0008790,CUST001123,2024-12-01 00:00:00,Online Transfer,Dining,-20.41
TXN00000194,ACC0008790,CUST001123,2024-11-23 00:00:00,Direct Debit,Dining,-41.19
TXN00000195,ACC0008790,CUST001123,2024-10-16 00:00:00,Salary Deposit,Salary,2915.66
TXN00000196,ACC0008790,CUST001123,2024-10-10 00:00:00,International Transfer,Travel,-380.61
TXN00000197,ACC0008790,CUST001123,2024-10-06 00:00:00,Mobile Payment,Entertainment,-109.58
TXN00000198,ACC0003228,CUST003575,2024-12-24 00:00:00,Salary Deposit,Salary,4469.57
TXN00000199,ACC0003228,CUST003575,2024-11-07 00:00:00,POS Purchase,Rent,-1.36
TXN00000200,ACC0003228,CUST003575,2024-10-12 00:00:00,Online Transfer,Travel,-64.08
TXN00000201,ACC0003228,CUST003575,2024-12-17 00:00:00,International Transfer,Healthcare,-691.09
TXN00000202,ACC0003228,CUST003575,2024-11-16 00:00:00,Online Transfer,Other,-15.5
TXN00000203,ACC0003228,CUST003575,2024-12-09 00:00:00,Direct Debit,Utilities,-96.34
TXN00000204,ACC0003228,CUST003575,2024-10-17 00:00:00,Direct Debit,Rent,-187.75
TXN00000205,ACC0003228,CUST003575,2024-11-04 00:00:00,International Transfer,Salary,-298.83
TXN00000206,ACC0003228,CUST003575,2024-10-12 00:00:00,Online Transfer,Groceries,-157.73
TXN00000207,ACC0003228,CUST003575,2024-11-12 00:00:00,Direct Debit,Travel,-86.76
TXN00000208,ACC0003228,CUST003575,2024-12-15 00:00:00,POS Purchase,Entertainment,-52.45
TXN00000209,ACC0003228,CUST003575,2024-11-04 00:00:00,Online Transfer,Shopping,-97.81
TXN00000210,ACC0003228,CUST003575,2024-10-12 00:00:00,POS Purchase,Shopping,-67.46
TXN00000211,ACC0003228,CUST003575,2024-11-19 00:00:00,ATM Withdrawal,Shopping,-45.34
TXN00000212,ACC0003228,CUST003575,2024-12-04 00:00:00,POS Purchase,Rent,-13.34
TXN00000213,ACC0003228,CUST003575,2024-10-31 00:00:00,POS Purchase,Groceries,-179.48
TXN00000214,ACC0003228,CUST003575,2024-11-20 00:00:00,POS Purchase,Other,-43.55
TXN00000215,ACC0005996,CUST000129,2024-12-13 00:00:00,International Transfer,Travel,-365.26
TXN00000216,ACC0005996,CUST000129,2024-11-07 00:00:00,Online Transfer,Travel,-211.2
TXN00000217,ACC0005996,CUST000129,2024-11-06 00:00:00,POS Purchase,Travel,-144.61
TXN00000218,ACC0005996,CUST000129,2024-10-19 00:00:00,Salary Deposit,Salary,5303.86
TXN00000219,ACC0005996,CUST000129,2024-12-22 00:00:00,Salary Deposit,Salary,4684.62
TXN00000220,ACC0005996,CUST000129,2024-11-06 00:00:00,International Transfer,Travel,-598.32
TXN00000221,ACC0005996,CUST000129,2024-11-02 00:00:00,POS Purchase,Entertainment,-67.89
TXN00000222,ACC0005996,CUST000129,2024-10-20 00:00:00,POS Purchase,Entertainment,-43.9
TXN00000223,ACC0005996,CUST000129,2024-10-09 00:00:00,ATM Withdrawal,Groceries,-15.11
TXN00000224,ACC0005996,CUST000129,2024-11-22 00:00:00,ATM Withdrawal,Rent,-163.97
TXN00000225,ACC0005996,CUST000129,2024-11-22 00:00:00,Mobile Payment,Utilities,-83.36
TXN00000226,ACC0005996,CUST000129,2024-11-09 00:00:00,Salary Deposit,Salary,4371.13
TXN00000227,ACC0005996,CUST000129,2024-12-07 00:00:00,Salary Deposit,Salary,4665.87
TXN00000228,ACC0005996,CUST000129,2024-10-04 00:00:00,International Transfer,Travel,-249.14
TXN00000229,ACC0005996,CUST000129,2024-11-28 00:00:00,ATM Withdrawal,Dining,-250.0
TXN00000230,ACC0005996,CUST000129,2024-12-01 00:00:00,Mobile Payment,Travel,-62.54
TXN00000231,ACC0005996,CUST000129,2024-12-10 00:00:00,Direct Debit,Travel,-50.03
TXN00000232,ACC0005996,CUST000129,2024-11-19 00:00:00,Online Transfer,Rent,-108.3
TXN00000233,ACC0005996,CUST000129,2024-12-10 00:00:00,Mobile Payment,Entertainment,-21.36
TXN00000234,ACC0005996,CUST000129,2024-10-07 00:00:00,Salary Deposit,Salary,4299.12
TXN00000235,ACC0005996,CUST000129,2024-10-19 00:00:00,ATM Withdrawal,Salary,-11.02
TXN00000236,ACC0005996,CUST000129,2024-12-20 00:00:00,International Transfer,Salary,-650.33
TXN00000237,ACC0005996,CUST000129,2024-11-28 00:00:00,Salary Deposit,Salary,3374.66
TXN00000238,ACC0005996,CUST000129,2024-10-18 00:00:00,Online Transfer,Entertainment,-27.37
TXN00000239,ACC0005996,CUST000129,2024-10-19 00:00:00,ATM Withdrawal,Utilities,-167.64
TXN00000240,ACC0005996,CUST000129,2024-11-25 00:00:00,Salary Deposit,Salary,2723.75
TXN00000241,ACC0005996,CUST000129,2024-12-02 00:00:00,POS Purchase,Dining,-7.18
TXN00000242,ACC0005996,CUST000129,2024-12-01 00:00:00,Salary Deposit,Salary,5106.62
TXN00000243,ACC0005996,CUST000129,2024-11-25 00:00:00,POS Purchase,Dining,-105.78
TXN00000244,ACC0005996,CUST000129,2024-10-29 00:00:00,Salary Deposit,Salary,3683.17
TXN00000245,ACC0005996,CUST000129,2024-10-07 00:00:00,ATM Withdrawal,Dining,-99.42
TXN00000246,ACC0005996,CUST000129,2024-12-08 00:00:00,Salary Deposit,Salary,6021.65
TXN00000247,ACC0005996,CUST000129,2024-11-27 00:00:00,Online Transfer,Healthcare,-5.76
TXN00000248,ACC0005996,CUST000129,2024-11-07 00:00:00,POS Purchase,Dining,-10.07
TXN00000249,ACC0002124,CUST004075,2024-12-10 00:00:00,Mobile Payment,Salary,-188.63
TXN00000250,ACC0002124,CUST004075,2024-12-07 00:00:00,Direct Debit,Rent,-96.6
TXN00000251,ACC0002124,CUST004075,2024-11-27 00:00:00,International Transfer,Dining,-543.91
TXN00000252,ACC0002124,CUST004075,2024-11-22 00:00:00,POS Purchase,Utilities,-10.1
TXN00000253,ACC0002124,CUST004075,2024-11-19 00:00:00,International Transfer,Groceries,-188.05
TXN00000254,ACC0002124,CUST004075,2024-10-12 00:00:00,ATM Withdrawal,Shopping,-8.35
TXN00000255,ACC0002124,CUST004075,2024-10-22 00:00:00,POS Purchase,Travel,-5.58
TXN00000256,ACC0002124,CUST004075,2024-11-06 00:00:00,POS Purchase,Travel,-59.07
TXN00000257,ACC0002124,CUST004075,2024-12-14 00:00:00,Salary Deposit,Salary,6374.38
TXN00000258,ACC0002124,CUST004075,2024-11-20 00:00:00,Salary Deposit,Salary,4922.18
TXN00000259,ACC0002124,CUST004075,2024-11-19 00:00:00,ATM Withdrawal,Salary,-4.81
TXN00000260,ACC0002124,CUST004075,2024-12-02 00:00:00,Direct Debit,Entertainment,-22.14
TXN00000261,ACC0002124,CUST004075,2024-10-23 00:00:00,Online Transfer,Rent,-158.28
TXN00000262,ACC0001443,CUST003044,2024-10-11 00:00:00,ATM Withdrawal,Salary,-30.67
TXN00000263,ACC0001443,CUST003044,2024-10-24 00:00:00,Mobile Payment,Utilities,-179.78
TXN00000264,ACC0001443,CUST003044,2024-10-18 00:00:00,Direct Debit,Utilities,-98.51
TXN00000265,ACC0001443,CUST003044,2024-10-05 00:00:00,ATM Withdrawal,Healthcare,-36.66
TXN00000266,ACC0001443,CUST003044,2024-12-01 00:00:00,Online Transfer,Entertainment,-167.83
TXN00000267,ACC0001443,CUST003044,2024-11-10 00:00:00,Mobile Payment,Healthcare,-67.22
TXN00000268,ACC0001443,CUST003044,2024-12-28 00:00:00,International Transfer,Travel,-833.54
TXN00000269,ACC0001443,CUST003044,2024-11-26 00:00:00,Direct Debit,Shopping,-54.31
TXN00000270,ACC0001443,CUST003044,2024-10-15 00:00:00,Direct Debit,Utilities,-96.01
TXN00000271,ACC0001443,CUST003044,2024-10-05 00:00:00,Direct Debit,Salary,-149.94
TXN00000272,ACC0001443,CUST003044,2024-11-27 00:00:00,Direct Debit,Dining,-28.41
TXN00000273,ACC0001443,CUST003044,2024-10-31 00:00:00,ATM Withdrawal,Rent,-4.31
TXN00000274,ACC0001443,CUST003044,2024-11-22 00:00:00,POS Purchase,Entertainment,-79.21
TXN00000275,ACC0001443,CUST003044,2024-10-26 00:00:00,Salary Deposit,Salary,2927.19
TXN00000276,ACC0001443,CUST003044,2024-10-27 00:00:00,Salary Deposit,Salary,4204.32
TXN00000277,ACC0001443,CUST003044,2024-11-06 00:00:00,Online Transfer,Entertainment,-3.46
TXN00000278,ACC0001443,CUST003044,2024-11-25 00:00:00,International Transfer,Dining,-262.9
TXN00000279,ACC0001443,CUST003044,2024-10-22 00:00:00,ATM Withdrawal,Healthcare,-71.55
